file,system,tonnage,tier,position,brand,model,pdf_page
gp_5ton_best_1_trane_5ycz5060a1115.png,GP,5,Best,1,Trane,5YCZ5060A1115,1
gp_5ton_best_2_trane_tcont824as52da.png,GP,5,Best,2,Trane,TCONT824AS52DA,1
gp_5ton_better_1_carrier_48nl-b601153.png,GP,5,Better,1,Carrier,48NL-B601153,1
gp_5ton_better_2_carrier_eb-state3lticr-01.png,GP,5,Better,2,Carrier,EB-STATE3LTICR-01,1
gp_5ton_budget_1_runtru_a5pg3060a1115.png,GP,5,Budget,1,RunTru,A5PG3060A1115,1
gp_5ton_budget_2_trane_tcont724as42da.png,GP,5,Budget,2,Trane,TCONT724AS42DA,1
gp_5ton_good_1_trane_5ycc4060a1090.png,GP,5,Good,1,Trane,5YCC4060A1090,1
gp_5ton_good_2_trane_tcont724as42da.png,GP,5,Good,2,Trane,TCONT724AS42DA,1
gp_4ton_best_1_trane_5ycz5048a1090.png,GP,4,Best,1,Trane,5YCZ5048A1090,2
gp_4ton_best_2_trane_tcont824as52da.png,GP,4,Best,2,Trane,TCONT824AS52DA,2
gp_4ton_better_1_carrier_48nl-b481153.png,GP,4,Better,1,Carrier,48NL-B481153,2
gp_4ton_better_2_carrier_eb-state3lticr-01.png,GP,4,Better,2,Carrier,EB-STATE3LTICR-01,2
gp_4ton_budget_1_runtru_a5pg3048a1090.png,GP,4,Budget,1,RunTru,A5PG3048A1090,2
gp_4ton_budget_2_trane_tcont724as42da.png,GP,4,Budget,2,Trane,TCONT724AS42DA,2
gp_4ton_good_1_trane_5ycc4048a1070.png,GP,4,Good,1,Trane,5YCC4048A1070,2
gp_4ton_good_2_trane_tcont724as42da.png,GP,4,Good,2,Trane,TCONT724AS42DA,2
gp_3_5ton_best_1_trane_5ycz5042a1090.png,GP,3.5,Best,1,Trane,5YCZ5042A1090,3
gp_3_5ton_best_2_trane_tcont824as52da.png,GP,3.5,Best,2,Trane,TCONT824AS52DA,3
gp_3_5ton_better_1_trane_5ycc4042a1060.png,GP,3.5,Better,1,Trane,5YCC4042A1060,3
gp_3_5ton_better_2_trane_tcont724as42da.png,GP,3.5,Better,2,Trane,TCONT724AS42DA,3
gp_3_5ton_budget_1_runtru_a5pg3042a1090.png,GP,3.5,Budget,1,RunTru,A5PG3042A1090,3
gp_3_5ton_budget_2_trane_tcont724as42da.png,GP,3.5,Budget,2,Trane,TCONT724AS42DA,3
gp_3_5ton_good_1_carrier_48nl-b420903.png,GP,3.5,Good,1,Carrier,48NL-B420903,3
gp_3_5ton_good_2_carrier_eb-state3lticr-01.png,GP,3.5,Good,2,Carrier,EB-STATE3LTICR-01,3
gp_3ton_best_1_trane_5ycz5036a1070.png,GP,3,Best,1,Trane,5YCZ5036A1070,4
gp_3ton_best_2_trane_tcont824as52da.png,GP,3,Best,2,Trane,TCONT824AS52DA,4
gp_3ton_better_1_trane_5ycc4036a1070.png,GP,3,Better,1,Trane,5YCC4036A1070,4
gp_3ton_better_2_trane_tcont724as42da.png,GP,3,Better,2,Trane,TCONT724AS42DA,4
gp_3ton_budget_1_runtru_a5pg3036a1070.png,GP,3,Budget,1,RunTru,A5PG3036A1070,4
gp_3ton_budget_2_trane_tcont724as42da.png,GP,3,Budget,2,Trane,TCONT724AS42DA,4
gp_3ton_good_1_carrier_48nl-b360903.png,GP,3,Good,1,Carrier,48NL-B360903,4
gp_3ton_good_2_carrier_eb-state3lticr-01.png,GP,3,Good,2,Carrier,EB-STATE3LTICR-01,4
gp_2_5ton_best_1_trane_5ycz5030a1070.png,GP,2.5,Best,1,Trane,5YCZ5030A1070,5
gp_2_5ton_best_2_trane_tcont824as52da.png,GP,2.5,Best,2,Trane,TCONT824AS52DA,5
gp_2_5ton_better_1_trane_5ycc4030a1070.png,GP,2.5,Better,1,Trane,5YCC4030A1070,5
gp_2_5ton_better_2_trane_tcont724as42da.png,GP,2.5,Better,2,Trane,TCONT724AS42DA,5
gp_2_5ton_budget_1_runtru_a5pg3030a1070.png,GP,2.5,Budget,1,RunTru,A5PG3030A1070,5
gp_2_5ton_budget_2_trane_tcont724as42da.png,GP,2.5,Budget,2,Trane,TCONT724AS42DA,5
gp_2_5ton_good_1_carrier_48nl-b300603.png,GP,2.5,Good,1,Carrier,48NL-B300603,5
gp_2_5ton_good_2_carrier_eb-state3lticr-01.png,GP,2.5,Good,2,Carrier,EB-STATE3LTICR-01,5
gp_2ton_best_1_trane_5ycz5024a1060.png,GP,2,Best,1,Trane,5YCZ5024A1060,6
gp_2ton_best_2_trane_tcont824as52da.png,GP,2,Best,2,Trane,TCONT824AS52DA,6
gp_2ton_better_1_trane_5ycc4024a1060.png,GP,2,Better,1,Trane,5YCC4024A1060,6
gp_2ton_better_2_trane_tcont724as42da.png,GP,2,Better,2,Trane,TCONT724AS42DA,6
gp_2ton_budget_1_runtru_a5pg3024a1060.png,GP,2,Budget,1,RunTru,A5PG3024A1060,6
gp_2ton_budget_2_trane_tcont724as42da.png,GP,2,Budget,2,Trane,TCONT724AS42DA,6
gp_2ton_good_1_carrier_48nl-b240603.png,GP,2,Good,1,Carrier,48NL-B240603,6
gp_2ton_good_2_carrier_eb-state3lticr-01.png,GP,2,Good,2,Carrier,EB-STATE3LTICR-01,6
