file,system,tonnage,tier,position,type,brand,model,pdf_page
php_5ton_best_1_package_unit_trane_5wcz5060a1000.png,PHP,5,Best,1,package_unit,Trane,5WCZ5060A1000,1
php_5ton_best_2_thermostat_trane_tcont824as52da.png,PHP,5,Best,2,thermostat,Trane,TCONT824AS52DA,1
php_5ton_better_1_package_unit_trane_5wcc4060a1000.png,PHP,5,Better,1,package_unit,Trane,5WCC4060A1000,1
php_5ton_better_2_thermostat_trane_tcont724as42da.png,PHP,5,Better,2,thermostat,Trane,TCONT724AS42DA,1
php_5ton_good_1_package_unit_carrier_50nt-b60---3.png,PHP,5,Good,1,package_unit,Carrier,50NT-B60---3,1
php_5ton_good_2_thermostat_carrier_eb-state3lticr-01.png,PHP,5,Good,2,thermostat,Carrier,EB-STATE3LTICR-01,1
php_5ton_budget_1_package_unit_runtru_a5ph3060a1000.png,PHP,5,Budget,1,package_unit,RunTru,A5PH3060A1000,1
php_5ton_budget_2_thermostat_trane_tcont724as42da.png,PHP,5,Budget,2,thermostat,Trane,TCONT724AS42DA,1
php_4ton_best_1_package_unit_trane_5wcz5048a1000.png,PHP,4,Best,1,package_unit,Trane,5WCZ5048A1000,2
php_4ton_best_2_thermostat_trane_tcont824as52da.png,PHP,4,Best,2,thermostat,Trane,TCONT824AS52DA,2
php_4ton_better_1_package_unit_trane_5wcc4048a1000.png,PHP,4,Better,1,package_unit,Trane,5WCC4048A1000,2
php_4ton_better_2_thermostat_trane_tcont724as42da.png,PHP,4,Better,2,thermostat,Trane,TCONT724AS42DA,2
php_4ton_good_1_package_unit_carrier_50nt-b48---3.png,PHP,4,Good,1,package_unit,Carrier,50NT-B48---3,2
php_4ton_good_2_thermostat_carrier_eb-state3lticr-01.png,PHP,4,Good,2,thermostat,Carrier,EB-STATE3LTICR-01,2
php_4ton_budget_1_package_unit_runtru_a5ph3048a1000.png,PHP,4,Budget,1,package_unit,RunTru,A5PH3048A1000,2
php_4ton_budget_2_thermostat_trane_tcont724as42da.png,PHP,4,Budget,2,thermostat,Trane,TCONT724AS42DA,2
php_3_5ton_best_1_package_unit_trane_5wcz5042a1000.png,PHP,3.5,Best,1,package_unit,Trane,5WCZ5042A1000,3
php_3_5ton_best_2_thermostat_trane_tcont824as52da.png,PHP,3.5,Best,2,thermostat,Trane,TCONT824AS52DA,3
php_3_5ton_better_1_package_unit_trane_5wcc4042a1000.png,PHP,3.5,Better,1,package_unit,Trane,5WCC4042A1000,3
php_3_5ton_better_2_thermostat_trane_tcont724as42da.png,PHP,3.5,Better,2,thermostat,Trane,TCONT724AS42DA,3
php_3_5ton_good_1_package_unit_carrier_50nt-b42---3.png,PHP,3.5,Good,1,package_unit,Carrier,50NT-B42---3,3
php_3_5ton_good_2_thermostat_carrier_eb-state3lticr-01.png,PHP,3.5,Good,2,thermostat,Carrier,EB-STATE3LTICR-01,3
php_3_5ton_budget_1_package_unit_runtru_a5ph3042a1000.png,PHP,3.5,Budget,1,package_unit,RunTru,A5PH3042A1000,3
php_3_5ton_budget_2_thermostat_trane_tcont724as42da.png,PHP,3.5,Budget,2,thermostat,Trane,TCONT724AS42DA,3
php_3ton_best_1_package_unit_trane_5wcz5036a1000.png,PHP,3,Best,1,package_unit,Trane,5WCZ5036A1000,4
php_3ton_best_2_thermostat_trane_tcont824as52da.png,PHP,3,Best,2,thermostat,Trane,TCONT824AS52DA,4
php_3ton_better_1_package_unit_trane_5wcc4036a1000.png,PHP,3,Better,1,package_unit,Trane,5WCC4036A1000,4
php_3ton_better_2_thermostat_trane_tcont724as42da.png,PHP,3,Better,2,thermostat,Trane,TCONT724AS42DA,4
php_3ton_good_1_package_unit_carrier_50nt-b36---3.png,PHP,3,Good,1,package_unit,Carrier,50NT-B36---3,4
php_3ton_good_2_thermostat_carrier_eb-state3lticr-01.png,PHP,3,Good,2,thermostat,Carrier,EB-STATE3LTICR-01,4
php_3ton_budget_1_package_unit_runtru_a5ph3036a1000.png,PHP,3,Budget,1,package_unit,RunTru,A5PH3036A1000,4
php_3ton_budget_2_thermostat_trane_tcont724as42da.png,PHP,3,Budget,2,thermostat,Trane,TCONT724AS42DA,4
php_2_5ton_best_1_package_unit_trane_5wcz5030a1000.png,PHP,2.5,Best,1,package_unit,Trane,5WCZ5030A1000,5
php_2_5ton_best_2_thermostat_trane_tcont824as52da.png,PHP,2.5,Best,2,thermostat,Trane,TCONT824AS52DA,5
php_2_5ton_better_1_package_unit_trane_5wcc4030a1000.png,PHP,2.5,Better,1,package_unit,Trane,5WCC4030A1000,5
php_2_5ton_better_2_thermostat_trane_tcont724as42da.png,PHP,2.5,Better,2,thermostat,Trane,TCONT724AS42DA,5
php_2_5ton_good_1_package_unit_carrier_50nt-b30---3.png,PHP,2.5,Good,1,package_unit,Carrier,50NT-B30---3,5
php_2_5ton_good_2_thermostat_carrier_eb-state3lticr-01.png,PHP,2.5,Good,2,thermostat,Carrier,EB-STATE3LTICR-01,5
php_2_5ton_budget_1_package_unit_runtru_a5ph3030a1000.png,PHP,2.5,Budget,1,package_unit,RunTru,A5PH3030A1000,5
php_2_5ton_budget_2_thermostat_trane_tcont724as42da.png,PHP,2.5,Budget,2,thermostat,Trane,TCONT724AS42DA,5
php_2ton_best_1_package_unit_trane_5wcz5024a1000.png,PHP,2,Best,1,package_unit,Trane,5WCZ5024A1000,6
php_2ton_best_2_thermostat_trane_tcont824as52da.png,PHP,2,Best,2,thermostat,Trane,TCONT824AS52DA,6
php_2ton_better_1_package_unit_trane_5wcc4024a1000.png,PHP,2,Better,1,package_unit,Trane,5WCC4024A1000,6
php_2ton_better_2_thermostat_trane_tcont724as42da.png,PHP,2,Better,2,thermostat,Trane,TCONT724AS42DA,6
php_2ton_good_1_package_unit_carrier_50nt-b24---3.png,PHP,2,Good,1,package_unit,Carrier,50NT-B24---3,6
php_2ton_good_2_thermostat_carrier_eb-state3lticr-01.png,PHP,2,Good,2,thermostat,Carrier,EB-STATE3LTICR-01,6
php_2ton_budget_1_package_unit_runtru_a5ph3024a1000.png,PHP,2,Budget,1,package_unit,RunTru,A5PH3024A1000,6
php_2ton_budget_2_thermostat_trane_tcont724as42da.png,PHP,2,Budget,2,thermostat,Trane,TCONT724AS42DA,6
